cat,comment,creditability,content,expression
เครื่องฟอกอากาศ,จัดส่งเร็ว แพคสินค้าดี ขนส่งดี กล่องและสินค้า ไม่บุบสลาย สินค้าตามรูป ทดแทนยี่ห้อจริงได้ โดยรวมดีๆดีๆดีๆดีๆดีๆนะคะ,4,4,2
เครื่องฟอกอากาศ,ราคาไม่แพง สั่งซื้อสะดวก เพราะตอนนี้ไปที่ shop เค้ามีแต่ของรุ่นใหม่ ใช้ด้วยกันไม่ได้ ของมาไวมากๆ ใส่เครื่องแล้วสามารถทำงานได้เลยไม่มีปัญหา คือร้านส่งของเร็วไวมาก ประทับใจ,5,4,4
เครื่องฟอกอากาศ,จัดส่งเร็วมากค่ะ ขนส่งจัดส่งดีมาก แพคมาปกติไม่มีเสียหาย โดยรวมชอบค่ะ ไวหมดแล้วอุดหนุนใหม่นะคะ,5,3,4
เครื่องฟอกอากาศ,"ส่งไว รอสินค้าวันเดียวได้ ส่งมากรุงเทพ
กล่องก็คือกล่องสินค้าเลย ไม่มีบุบ
ข้างในก็มีห่อถุงพลาสติกอีกชั้น",5,4,2
เครื่องฟอกอากาศ,สินค้าส่งไวดี สินค้าส่งมาแล้วก็สภาพใช้ได้ แต่แพ็คเกจกล่องไม่มีห่อหุ้มอะไรให้เลย มาแบบไหนส่งมาแบบนั้น น่าจะมีอะไรที่ป้อนกันให้ดีกว่านี้ ส่วนขนส่งติดต่อยากมาก โทรมาแป๊บเดียวดัง1-2 ครั้ง รับไม่ทัน พอโทรกลับก็ไม่รับสาย มาส่งอีกวันก็ยังเหมือนเดิม แถมวางไว้หน้าบ้านไม่โทรมาบอกอีก แย่ครับ,5,5,3
เครื่องฟอกอากาศ,ได้รับสินค้าเร็วทันใจ ครั้งที่แล้วใช้มีเทา ครั้งนี้ลองสั่งมาเป็นสีม่วงดูบ้างว่าจะใช้ดีไหม ต้องลองไปใช้ก่อนค่ะ,3,2,2
เครื่องฟอกอากาศ,"คุณภาพไส้กรอก100เปอร์เซ็นเต็มใช้งานได้ปกติดีทุกอย่าง
แต่ว่าทำไมอ่านค่าจากแอฟไส้กรอกเหลือเท่าอันเก่าเลยอะ
สถานะไส้กรอกไม่เปลี่ยนตามไปด้วย
สินค้าใช้งานได้ปกติดีคะ",5,2,2
เครื่องฟอกอากาศ,"คุณภาพ: สินค้าคุณภาพ ตรงตามรุ่น ที่สั่งซื้อไปสินค้าดี  ตรงปกตามที่สั่งไป
แต่การหีบห่อ การจัดส่งพัสดุ  แย่มาก  
ไม่มีหีบห่อกันกระแทก ใดๆ เลย 
เป็นกล่องผลิตภัณฑ์มาเฉยๆ อย่างเดียว  เพียวๆไม่มีการห่อหุ้มใดๆ 
สภาพที่ได้รับมาก้ออย่างที่เห็นในรูปครับ 
บอกได้แค่ว่า “ยับเยิน”
ยังดีว่าสินค้าภายในกล่อง ไม่เสียหายถึงขั้นใช่การไม่ได้

การจัดส่งก้อไม่มีการโทรแจ้งประสานงานให้ทราบก่อนการจัดส่ง",5,5,3
เครื่องฟอกอากาศ,เช็คพัสดุ Kerry Express บริการเช็คเลขพัสดุ ตรวจสอบพัสดุ Kerry Express เพื่อดูสถานะของพัสดุ หรือจดหมาย ได้แบบสดๆ ทันที มีประโยชน์ทั้งผู้ส่ง และผู้รับพัส,2,3,1
เครื่องฟอกอากาศ,คุณภาพ: ของมาส่งไว แต่ไม่มีการใส่กล่องอีกชั้นหรือกันกระแทกใดๆพร้อมกับมีรูบนกล่อง การติดเทปปิดก็ทำได้แย่และไม่มีความแน่นหนาใดๆ ยังดีที่ของด้านในไม่เสียหาย,3,4,2
เครื่องฟอกอากาศ,"เห็นหลายคนรีวิว เรื่อง การส่ง ไม่มีกันกระแทก ส่งมาแบบเพียว ๆ กล่องมีบุบ มียุบ  ตัวสินค้าก็ยุบ และบุบตามกล่อง  เจอกับตนเองจนได้ ถ้าจะสั่งจากร้านนี้ต้องทำใจ ให้ยอมรับได้ 😓😓 
ร้านอื่นสินค้าห้าบาทสิบบาท เขายังห่อดัวยกันกระแทกมาให้ เฮ้อ",4,4,3
เครื่องฟอกอากาศ,ไม่ห่อกันกระแทก,2,2,1
เครื่องฟอกอากาศ,จัดส่งสินค้าค่อนข้างช้า และที่สำคัญทางร้านแพ็คสินค้าแย่มากเป็นกล่องไส้กรอง ไม่มีอะไรหุ้มเลย กล่องบุบจนไส้กรองข้างในบุบตามไปด้วย,4,5,2
เครื่องฟอกอากาศ,แย่มากของกรองบุบ,2,3,3
เครื่องฟอกอากาศ,ใส่กล่องพัสดุมาบ้างก็ได้นะ นี่มาแต่กล่องสินค้าเลย ขาดไม่รู้กี่ที่,4,5,4
เครื่องฟอกอากาศ,"ครั้งก่อนได้ไส้กรองเป็นของ MI แต่สั่งคราวนี้ได้ของยี่ห้ออื่นที่ไม่ใช่ MI ส่งมาแทน
คงสั่งเป็นครั้งสุดท้ายแล้ว",5,4,4
เครื่องฟอกอากาศ,เครื่องตรวจจับไส้กรองไม่ได้ ขึ้นเป็น0%,4,2,2
เครื่องฟอกอากาศ,จัดของเร็ว ส่งของไวมาก วัยเดียวได้ ได้รับของเรียบร้อยตรงตามที่ระบุทุกอย่าง คุณภาพของใช้ได้ ลองทดสอบเบื้องต้น ทุกการทำงานแล้วทำงานได้ดี ครบถ้วนหมด ติดแค่ช่องเจาะรูน็อตไม่ตรงตามท่านอื่นรีวิวกับไม่มีข้อมูลการใช้สาย USB กับ power bank ในกรณีที่นำมาใช้ในห้องเล็ก ซื้อเครื่องพร้อมไส้กรองอะไหล่ดูมอมๆ ไปหน่อย ถ้าผู้ขายมาให้ข้อมูลเพิ่มจะดีมาก แนะนำร้านนี้ครับ,5,5,3
เครื่องฟอกอากาศ,ได้รับสินค้าเรียบร้อยละคะ ครบตรวตามที่ออเดอร์ การแพ็คสินค้าเรียบร้อยดี การจัดส่งรวดเร็วดีค่ะ,4,4,3
เครื่องฟอกอากาศ,ได้รับสินค้าเรียบร้อยส่งตรงตามกำหนด ห่อมาดีของที่สั่งซื้อไม่มีเสียหาย ได้ของที่สั่งมาครบถ้วนตามที่สั่งไป ตอนนี้ที่ได้ของมายังไม่เจอปัญหาอะไร,5,5,3
เครื่องฟอกอากาศ,ไม่มีสายเสียบช่องUSB ให้แล้วติดต่อทางแชทไม่มีใครตอบมีสายเสียบช่องหัวไฟแช็ค กับสายรัดมา แล้วก่อนซื้อเข้าใจว่าไม่จำเป็นต้องเสียบสายชาร์ตตลอดเวลา,4,4,3
เครื่องฟอกอากาศ,ปุ่มเปิดปิดยากมาก ใช้ไม่ได้จริงในรถ ไฟ usb ธรรมดา จะเปิดไม่ได้ ไฟไม่พอ ต้องใช้ ปลั๊กไฟในรถที่ทำเพิ่มมาเอง (ตามรูป เสียบปลั๊กแบบนี้ ถึงจะทำงาน) ราคานี้ กับความยุ่งยาก คิอ แพงมาก และใช้ไม่ได้,5,4,3
เครื่องฟอกอากาศ,กรองอากาศได้ไม่ดีครับ เมื่อเทียบแบรนด์มาตฐาน,3,2,2
เครื่องฟอกอากาศ,ได้รับ​แล้ว​ค่ะ​ครบ​ตาม​จ​ำ​นวน​ที่​สั่ง​แพ็ค​เรียบร้อย​ดี​ค่ะ​ส่ง​เร็ว​ทันใจ​ดีมาก​ค่ะ​ถ้า​มีโอกาส​จะ​สั่งซื้อ​อีก​นะคะ​,4,4,4
เครื่องฟอกอากาศ,ตัดส่งเร็ว ขนส่งโทรแจ้งล่วงหน้า ใส่ซองมาส่งของครบ จขาดสามารถ​ตัดเองได้ ไม่บางเลย ดี ต้องตัดแล้วแปะเทปเอง โดยรวมดีมากค่ะ ราคาไม่แพง,5,5,4
เครื่องฟอกอากาศ,ได้รับสินค้าเรียบร้อยร้านค้าส่งให้รวดเร็วเคยใช้บริการแล้วสินค้าใช้ได้ดีสามารถกรองฝุ่นได้แนะนำร้านค้าร้านนี้,5,4,4
เครื่องฟอกอากาศ,ได้รับสินค้าตามที่สั่งร้านค้าส่งให้รวดเร็วมากเคยสั่งใช้บริการแล้วสินค้าใช้ได้ดีสามารถกรองฝุ่นได้ ￼,5,4,4
เครื่องฟอกอากาศ,การขนส่งดีมากการแพ็คของดีมากสินค้าไม่ชำรุดใดๆใส่กับไส้กรองได้พอดีไว้เป็นตัวกรองไส้กรองอีกทีนึงแนะนำครับส่งไวดี,4,5,3
เครื่องฟอกอากาศ,"เป็นผืนผ้าเปล่าๆ ไม่มีเทปมาให้ ต้องหาเทปใสมาแปะเอา  แผ่นใหญ่จริง แต่ต้องพับยัดลงเครื่องกรอง ทำให้เข้ายากมาก 
ผมใช้ mi air 4 lite",5,3,2
เครื่องฟอกอากาศ,ของมาถึงอย่างปลอดภัย และครบถ้วนเลยค่ะ จัดส่งอย่างดี มีข้อแนะนำเมื่อได้รับสินค้าให้ด้วยค่ะ น้องสวยมากๆๆๆๆ,3,4,3
เครื่องฟอกอากาศ,พลูด่างใบสีเขียวเหลือบ เหมาะสำหรับปักแช่แจกันในบ้านค่ะ ใบขนาดไม่โตมาก การขนส่งดี เมื่อเทียบกับราคาก็ถือว่าคุณภาพใช้ได้ค่ะ,1,1,1
เครื่องฟอกอากาศ,ไม้เลี้ยง​น้ำ สารพัดพลู สินค้า​ค่อนข้างจะ​ไม่สวย กิ่งสั้น    ยังไม่มีราก อ่อน​แอ ตอนนี้ผู้รอดชีวิตที่เหลืออยู่มีแค่พลูใบเงินและพลูอินโดค่ะ,1,1,1
เครื่องฟอกอากาศ,สินค้าดี มีคุณภาพ คุ้มค่าคุ้มราคา ถูกกว่าร้านอื่นในระดับเดียวกัน มีไส้กรองเครื่องฟอกอากาศให้เลือกหลายแบบ จัดส่งรวดเร็ว สินค้าปลอดภัย package แน่นหนา ร้านค้าบริการดี,5,5,4
เครื่องฟอกอากาศ,"ไส้กรองอากาศ เนื้อ Hepa
สำหรับเครื่องกรองยี่ห้อ Sharpe
ราคามาตรฐาน ไม่แพง ไม่ถูก
ขนาดใกล้เคียงของเดิม
ใส่แล้ว รู้สึกว่าหลวมนิดๆ
แต่ก็ถือว่าใช้ได้",5,4,3
เครื่องฟอกอากาศ,สินค้าส่งรวดเร็วดี​ ทางร้านตอบช้าไปหน่อยต้องถามซ้ำอีกถึงมาตอบให่​ สะดวกมาก​ ไม่ต้องออกไปหาซื้อให้เสียเวลาเลย​,4,4,3
เครื่องฟอกอากาศ,สภาพการห่อคือแย่มาก น่าจะห่อมาดีกว่าดีหน่อย ไม่รู้การใช้งานจะเป็นยังไงบ้าง,3,5,4
เครื่องฟอกอากาศ,สภาพที่มาถึง คือแย่มาก กล่องโดนเปิด บริการแย่มากกกกๆๆ,2,4,5
เครื่องฟอกอากาศ,"แพ็คสินค้าดี ตรงตามที่ต้องการ
สินค้าสภาพดี",2,3,2
เครื่องฟอกอากาศ,ใช้แล้ว ลองวัดค่า pm 2.5 แล้ว ฟอกได้เหลือแค่ค่า 12 ต่ำสุด ในขณะที่แผ่นเก่าที่ติดมากลับเครื่อง ฟอกได้จนเหลือ 2 อาจจะสั่งผิดแบบมา,5,4,2
เครื่องฟอกอากาศ,ส่งของช้ามาก,2,3,1
เครื่องฟอกอากาศ,ทดลองใช้สินค้าแล้ว คุ้มค่าคุ้มราคา จะเล่าให้เพื่อนๆฟังว่าในวันที่ดูสินค้าครั้งแรกขึ้นโชว์ว่ากำลังจะขึ้นแฟลชเซลล์ ลูกค้าจึงรอเวลานั้น เมื่อถึงเวลากลับพบว่าสินค้าก็ราคาเท่าเดิม มิได้ลดราคาแต่อย่างใด (อันนี้อาจจะเป็นลูกเล่นทางแพลตฟอร์ม) ลักษณะร้านเป็นแบบมีแอดมินช่วยตอบปัญหาเบื้องต้นเท่านั้น แต่ไม่ใช่ผู้ดูแลร้านที่จะกำหนดราคา หรือเพิ่มเติมสต็อคเองได้ ต้องรอผู้ดูแลร้านมาปรับปรุงสต็อคให้,5,5,3
เครื่องฟอกอากาศ,"สั่งซื้อครั้งที่ 2แล้ว  บริษัทใช้เวลาจัดเตรียมพัสดุนานเหมือนเคย แต่ขนส่งนำส่งเร็วสรุปใช้เวลา 4-5 วันได้รับของ Packaging ดีไม่มีปัญหา
 แต่ข้อความที่เขียนไปในโน๊ตคำสั่งซื้อไม่มีประโยชน์อะไรไม่มีใครอ่าน ทีหลังไม่ต้องมีช่องให้เขียนก็ได้",5,4,3
เครื่องฟอกอากาศ,คุณภาพดี ขนาดไม่เล็กไม่ใหญ่ เสียงไม่ดังมาก ลมแรง จัดส่งเร็ว สินค้าไม่มีปัญหา ถูกใจมากคะ,4,4,4
เครื่องฟอกอากาศ,"ระยะเวลาในการจัดส่งจากวันที่ สั่งซื้อ จนถึงวันได้รับสินค้ารวมทั้งสิ้น 16 วันทำการค่ะ เพราะรอ pre order 
บรรจุภัณฑ์ก็ตามสภาพ แต่ซีลด้วยพลาสติก 
คุณภาพการใช้งานเดี๋ยวมารีวิวค่ะ",4,5,2
เครื่องฟอกอากาศ,สินค้าสภาพไม่เสียหายใช้ได้ดีค่ะ แต่จัดส่งเเจ้งสถานะว่าติดต่ผู้รับไม่ได้ทั้งที่ยังไม่ได้โทร.หาเลย แต่กลับส่งข้อความมาให้ยืนยันวันรับของ งง.,4,5,3
เครื่องฟอกอากาศ,คุณภาพ: ดินคุณภาพดีมีรอย​ฉีกขาดของถุงดิน,1,1,1
เครื่องฟอกอากาศ,คุณภาพ: ทดลองพึ่งสั่งครั้งแลกลองใช้ก่อนว่าดีมั้ยเพราะดีมั้ย แต่ส่งไวโอเคเลย แต่น่าจะดีแหละ ขอลองก่อนเดะมาเอาอีก,2,3,2
เครื่องฟอกอากาศ,ได้รับของแล้วครับร้านนี้ราคาถูกแถมได้เยอะมากส่งไวแพ็คมาดีไว้โอกาศน่าจะอุดหนุนไหม่,4,5,5
เครื่องฟอกอากาศ,ส่งไวแพ๊คดีมากครับราคาไม่แพงเป็นเม็ดเลยไม่มีผงเลยครับถือว่าผ่านคุ้มราคาเทียบกับหลายๆเจ้าถือว่าราคาดียุครับสั่งหลายรอบแล้ว,1,1,1
เครื่องฟอกอากาศ,คุณภาพ: ดีสินค้าโอเคค่ะ แพ็คเกจมาสินค้าโอเคค่ะสภาพดี ราคาโอเคเลยค่ะ ร้านนี้มีสินค้าให้สั่งซื้อหลายรายการนำไปปลูกต้นไม้,1,1,1
